side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,BREAKOUT,USO,75.6,158.38,5.61,12.21,24.41,2.2,78.0,20.0,2.91,158.38,151.46,172.22,2.0,14,ไม่ทราบวันงบ,159.82,0.91,post,ok,ปิดที่/เหนือ high 20 วัน · RVOL 2.2x · ADX 20 · +24.4% ใน 20 วัน
long,VOLSPIKE,USO,52.8,158.38,5.61,12.21,24.41,2.2,78.0,20.0,2.91,158.38,151.46,172.22,2.0,14,ไม่ทราบวันงบ,159.82,0.91,post,ok,วอลุ่ม 2.2 เท่าปกติ · +5.6% วันเดียว · ปิดที่ 92% ของแท่ง
long,VOLSPIKE,ELV,41.0,416.54,4.95,2.64,4.36,2.09,60.2,12.6,2.7,416.54,399.64,450.33,2.0,5,งบอีก 41 วัน,416.54,-0.0,post,ok,วอลุ่ม 2.1 เท่าปกติ · +4.9% วันเดียว · ปิดที่ 62% ของแท่ง
long,PULLBACK,ABNB,54.3,167.65,-1.17,-8.52,-6.91,0.82,41.0,33.4,3.24,167.65,159.5,183.96,2.0,12,งบอีก 56 วัน,167.84,0.11,post,ok,RSI 41 · %B -0.14 · -8.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,AMGN,48.5,382.47,-2.25,-13.63,-8.1,1.33,33.1,40.0,3.04,382.47,365.02,417.37,2.0,5,งบอีก 54 วัน,383.98,0.39,post,ok,RSI 33 · %B -0.11 · -13.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,DXCM,48.4,84.51,0.75,-5.78,-6.93,0.87,44.1,25.7,3.02,84.51,80.68,92.17,2.0,26,งบอีก 49 วัน,84.27,-0.28,post,ok,RSI 44 · %B -0.01 · -5.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SBUX,47.4,99.22,-0.82,-7.03,-8.54,1.24,32.8,14.4,2.53,99.22,95.45,106.75,2.0,26,งบอีก 48 วัน,99.4,0.18,post,ok,RSI 33 · %B -0.13 · -7.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLB,45.0,50.76,-1.23,-4.14,-3.46,0.88,37.1,13.5,1.62,50.76,49.53,53.23,2.0,80,ไม่ทราบวันงบ,50.76,0.0,post,ok,RSI 37 · %B -0.10 · -4.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,APD,42.1,293.65,-0.54,-5.11,-3.43,0.87,39.8,19.5,2.07,293.65,284.54,311.88,2.0,10,งบอีก 56 วัน,293.65,0.0,post,ok,RSI 40 · %B -0.08 · -5.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,MMM,42.1,162.86,-0.94,-3.49,-11.38,1.07,26.0,33.7,2.08,162.86,157.78,173.02,2.0,19,งบอีก 40 วัน,162.86,-0.0,post,ok,RSI 26 · %B 0.02 · -3.5% ใน 5 วัน แต่ยังเหนือ SMA200
