side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,PULLBACK,DXCM,49.3,83.03,-1.75,-7.45,-9.24,0.63,40.4,24.7,3.11,83.03,79.15,90.78,2.0,25,งบอีก 48 วัน,83.1,0.08,post,ok,RSI 40 · %B -0.06 · -7.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SBUX,43.6,98.74,-0.48,-6.69,-9.04,0.97,31.8,16.1,2.5,98.74,95.03,106.15,2.0,26,งบอีก 47 วัน,98.82,0.08,post,ok,RSI 32 · %B -0.06 · -6.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNH,43.3,379.09,-2.37,-5.45,-5.0,1.64,35.5,22.2,2.86,379.09,362.8,411.66,2.0,6,งบอีก 46 วัน,378.73,-0.09,post,ok,RSI 35 · %B -0.14 · -5.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,ABNB,42.8,170.19,1.52,-8.13,-8.07,0.59,44.2,31.9,3.08,170.19,162.32,185.93,2.0,12,งบอีก 55 วัน,170.25,0.04,post,ok,RSI 44 · %B 0.04 · -8.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,APD,42.4,291.43,-0.76,-4.2,-4.61,0.94,37.7,19.2,2.1,291.43,282.26,309.76,2.0,10,งบอีก 55 วัน,291.43,0.0,post,ok,RSI 38 · %B -0.07 · -4.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XBI,37.9,156.2,-0.4,-4.98,-0.42,1.02,42.2,17.4,2.57,156.2,150.18,168.24,2.0,16,ไม่ทราบวันงบ,156.31,0.07,post,ok,RSI 42 · %B 0.06 · -5.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,REGN,33.4,781.49,-1.48,-7.35,-3.04,0.7,45.7,35.1,2.57,781.49,751.36,841.74,2.0,3,งบอีก 47 วัน,783.99,0.32,post,ok,RSI 46 · %B 0.02 · -7.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,NSC,32.3,320.27,-0.94,-2.31,-5.2,0.74,32.2,24.9,1.95,320.27,310.92,338.98,2.0,10,งบอีก 41 วัน,320.27,0.0,post,ok,RSI 32 · %B 0.07 · -2.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,AMGN,31.1,377.35,-1.34,-15.03,-9.69,0.87,31.5,39.6,3.05,377.35,360.1,411.85,2.0,5,งบอีก 53 วัน,377.94,0.16,post,ok,RSI 31 · %B -0.06 · -15.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLB,30.0,50.95,0.37,-3.17,-2.6,0.82,39.1,13.1,1.56,50.95,49.76,53.34,2.0,83,ไม่ทราบวันงบ,50.95,-0.0,post,ok,RSI 39 · %B 0.03 · -3.2% ใน 5 วัน แต่ยังเหนือ SMA200
