side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,VOLSPIKE,ZS,60.9,191.73,16.52,12.92,4.43,2.5,61.5,19.9,5.28,191.73,176.53,222.12,2.0,6,งบอีก 71 วัน,191.86,0.07,post,ok,วอลุ่ม 2.5 เท่าปกติ · +16.5% วันเดียว · ปิดที่ 90% ของแท่ง
long,VOLSPIKE,CRWD,57.7,235.38,13.85,10.46,8.5,2.43,62.3,17.2,5.46,235.38,216.11,273.92,2.0,5,งบอีก 78 วัน,235.0,-0.16,post,ok,วอลุ่ม 2.4 เท่าปกติ · +13.9% วันเดียว · ปิดที่ 83% ของแท่ง
long,PULLBACK,BAC,53.6,59.47,-5.14,-5.12,-7.78,2.05,34.0,19.2,2.19,59.47,57.52,63.37,2.0,51,งบอีก 30 วัน,59.72,0.42,post,ok,RSI 34 · %B -0.26 · -5.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,APD,47.1,287.13,-1.48,-4.69,-7.07,0.92,33.9,19.3,2.15,287.13,277.89,305.61,2.0,10,งบอีก 52 วัน,287.13,-0.0,post,ok,RSI 34 · %B -0.12 · -4.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,ASML,36.9,1575.15,-7.25,-8.15,-14.58,1.75,36.1,13.1,3.8,1575.15,1485.48,1754.48,2.0,1,งบอีก 30 วัน,1589.79,0.93,post,ok,RSI 36 · %B -0.11 · -8.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,GS,36.8,988.45,-3.96,-4.83,-4.9,1.24,39.0,10.7,2.7,988.45,948.46,1068.43,2.0,2,งบอีก 29 วัน,989.98,0.15,post,ok,RSI 39 · %B -0.08 · -4.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,JPM,36.7,350.13,-1.71,-2.37,-3.5,1.48,44.2,11.0,1.75,350.13,340.96,368.47,2.0,10,งบอีก 29 วัน,350.2,0.02,post,ok,RSI 44 · %B 0.05 · -2.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLB,36.0,50.49,-0.9,-3.72,-3.9,1.05,36.2,13.4,1.55,50.49,49.32,52.84,2.0,85,ไม่ทราบวันงบ,50.49,-0.0,post,ok,RSI 36 · %B -0.01 · -3.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,EQIX,35.2,998.72,-3.76,-3.6,-9.38,1.05,37.7,14.3,3.01,998.72,953.69,1088.78,2.0,2,งบอีก 44 วัน,1024.2,2.55,post,ok,RSI 38 · %B -0.03 · -3.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SBUX,32.2,99.07,0.33,-5.17,-8.0,1.0,33.2,17.7,2.44,99.07,95.45,106.31,2.0,27,งบอีก 44 วัน,99.22,0.15,post,ok,RSI 33 · %B 0.04 · -5.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,AMGN,31.8,381.5,1.1,-12.75,-8.12,1.02,34.3,39.3,2.94,381.5,364.65,415.2,2.0,5,งบอีก 50 วัน,381.55,0.01,post,ok,RSI 34 · %B 0.05 · -12.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,MMM,31.6,162.02,-1.79,-3.88,-11.29,1.05,28.8,36.2,2.13,162.02,156.85,172.36,2.0,19,งบอีก 36 วัน,162.02,-0.0,post,ok,RSI 29 · %B 0.08 · -3.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,NSC,28.6,320.05,-0.07,-2.86,-4.29,1.75,32.0,26.2,1.88,320.05,311.05,338.06,2.0,11,งบอีก 38 วัน,320.05,0.0,post,ok,RSI 32 · %B 0.11 · -2.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNP,25.7,285.08,0.24,-1.57,-2.93,0.52,36.7,26.0,1.99,285.08,276.59,302.06,2.0,11,งบอีก 38 วัน,285.08,0.0,post,ok,RSI 37 · %B 0.18 · -1.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,RTX,23.7,195.34,-1.18,-2.71,-12.39,0.89,29.4,28.9,2.08,195.34,189.24,207.55,2.0,16,งบอีก 36 วัน,195.34,0.0,post,ok,RSI 29 · %B 0.14 · -2.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SPG,23.7,204.97,0.07,-2.13,-6.65,0.81,30.5,34.4,1.74,204.97,199.64,215.64,2.0,18,งบอีก 49 วัน,204.97,-0.0,post,ok,RSI 31 · %B 0.13 · -2.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BLK,23.0,1065.6,-1.3,-5.05,-9.21,0.82,37.2,26.3,2.18,1065.6,1030.74,1135.32,2.0,2,งบอีก 30 วัน,1065.6,0.0,post,ok,RSI 37 · %B 0.06 · -5.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SMH,21.8,541.5,-4.75,-4.5,-7.88,1.56,42.1,11.4,3.15,541.5,515.92,592.67,2.0,3,ไม่ทราบวันงบ,544.0,0.46,post,ok,RSI 42 · %B 0.09 · -4.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNH,20.8,383.55,1.18,-3.42,-4.53,0.81,39.6,23.7,2.77,383.55,367.64,415.37,2.0,6,งบอีก 43 วัน,383.11,-0.11,post,ok,RSI 40 · %B 0.10 · -3.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,GD,20.5,356.81,0.26,-0.72,-9.85,0.95,33.3,39.0,1.86,356.81,346.88,376.68,2.0,10,งบอีก 44 วัน,353.7,-0.87,post,ok,RSI 33 · %B 0.20 · -0.7% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,DLTR,17.0,119.17,0.85,-9.32,-7.9,1.2,37.6,25.3,3.89,119.17,112.21,133.09,2.0,14,งบอีก 79 วัน,119.5,0.28,post,ok,RSI 38 · %B 0.09 · -9.3% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CROX,15.0,111.49,-0.88,-5.14,-15.36,0.83,35.2,33.3,3.54,111.49,105.57,123.33,2.0,16,งบอีก 45 วัน,113.0,1.35,post,ok,RSI 35 · %B 0.16 · -5.1% ใน 5 วัน แต่ยังเหนือ SMA200
short,DISTRIBUTION,BAC,38.3,59.47,-5.14,-5.12,-7.78,2.05,34.0,19.2,2.19,59.47,61.42,55.57,2.0,51,งบอีก 30 วัน,59.72,0.42,post,ok,วอลุ่ม 2.0 เท่าปกติ · -5.1% วันเดียว · ปิดที่ 16% ของแท่ง
short,RALLYFADE,IBM,37.1,249.09,2.38,6.05,6.3,1.35,60.8,11.9,2.93,249.09,260.03,227.22,2.0,9,งบอีก 37 วัน,248.39,-0.28,post,ok,RSI 61 · %B 1.25 · +6.0% ใน 5 วัน แต่ยังใต้ SMA200
